movie,year,mins,genres,directors,actors
nobody-2,2025,89.0,"['action', 'thriller']",['timo-tjahjanto'],"['bob-odenkirk', 'connie-nielsen', 'sharon-stone', 'john-ortiz', 'colin-hanks', 'rza', 'christopher-lloyd', 'gage-munroe', 'paisley-cadorath', 'colin-salmon', 'jacob-blair', 'daniel-bernhardt', 'lucius-hoyos', 'david-macinnis', 'david-brown', 'denesha-lee-labiuk', 'rodrigo-beilfuss', 'joanne-rodriguez', 'callum-anderson', 'alec-carlos', 'nicholas-verdi', 'loyd-bateman', 'finn-mccager-higgins', 'zara-longe', 'john-b-lowe', 'heather-gaskin', 'mckenna-sissons', 'ariel-kromah', 'marina-stephenson-kerr', 'jimmy-dao', 'adam-hurtig', 'alan-wong-5', 'carolina-campos-1', 'jenna-gunter', 'tristan-carlucci', 'dennis-scullard', 'madison-macisaac', 'madison-verstraete', 'shannon-loewen', 'ryan-david-younes', 'quinn-greene', 'sara-lynne-otsuji', 'derek-kun', 'graeme-guthrie', 'keanu-lam', 'bettina-pogson', 'felipe-salazar-6', 'jeremy-warren', 'nolan-grantham', 'jahron-wilson', 'myles-grantham', 'isla-verot', 'rochelle-okoye', 'megan-hui', 'sarah-luby', 'ayla-allison', 'everley-barr-trapp', 'jacqueline-loewen', 'jake-kennerd']"
the-shiver-of-the-vampires,1971,95.0,['horror'],['jean-rollin'],"['sandra-julien', 'jean-marie-durand', 'michel-delahaye', 'jacques-robiolles', 'dominique-3', 'marie-pierre-castel', 'kuelan-herce', 'nicole-nancel']"
alice-doesnt-live-here-anymore,1974,112.0,"['romance', 'drama']",['martin-scorsese'],"['ellen-burstyn', 'kris-kristofferson', 'alfred-lutter', 'harvey-keitel', 'diane-ladd', 'lelia-goldoni', 'billy-green-bush', 'jodie-foster', 'valerie-curtin', 'vic-tayback', 'murray-moston', 'harry-northup', 'lane-bradbury', 'mia-bendixsen', 'dean-casper', 'marty-brinton', 'ola-moore', 'laura-dern', 'tami-conner', 'david-adams-1', 'jackie-bridges', 'steve-defrance', 'jan-eddy', 'arnold-herzstein', 'henry-kendrick', 'frank-kennedy', 'lambert-marks', 'don-starr', 'tiny-wells', 'bob-westmoreland']"
candyman,1992,100.0,"['thriller', 'horror', 'drama']",['bernard-rose'],"['virginia-madsen', 'tony-todd', 'xander-berkeley', 'kasi-lemmons', 'vanessa-williams-1', 'dejuan-guy', 'marianna-elliott', 'ted-raimi', 'ria-pavia', 'mark-daniels-6', 'lisa-ann-poggi', 'adam-philipson', 'eric-edwards', 'carolyn-lowery', 'barbara-alston', 'sarina-c-grant', 'latesha-martin', 'lanesha-martin', 'michael-culkin', 'bernard-rose', 'glenda-starr-kelly', 'kenneth-a-brown', 'caesar-brown', 'terrence-riggins', 'gilbert-lewis', 'rusty-schwimmer', 'baxter-harris', 'john-rensenhouse', 'mika-quintard', 'doug-machugh', 'carol-harris', 'stanley-desantis', 'diane-peterson', 'michael-laren', 'laura-bennecke', 'michelle-blackwell', 'ray-etheridge', 'antoinette-rogers', 'fred-sanders', 'caron-strong']"
old-2021,2021,108.0,"['thriller', 'mystery', 'horror']",['m-night-shyamalan'],"['gael-garcia-bernal', 'vicky-krieps', 'rufus-sewell', 'alex-wolff', 'thomasin-mckenzie', 'abbey-lee', 'nikki-amuka-bird', 'ken-leung', 'eliza-scanlen', 'aaron-pierre', 'embeth-davidtz', 'emun-elliott', 'alexa-swinton', 'gustaf-hammarsten', 'kathleen-chalfant', 'francesca-eastwood', 'nolan-river', 'luca-faustino-rodriguez', 'kylie-begley', 'mikaya-fisher', 'kailen-jude', 'm-night-shyamalan', 'matthew-shear', 'daniel-ison', 'julietta-rodriguez', 'jeffrey-holsman', 'deidra-ciolko', 'margaux-da-silva', 'john-twohy', 'alejandra-useche', 'louise-walter', 'arturo-a-baez']"
great-expectations,1946,118.0,"['romance', 'drama']",['david-lean'],"['john-mills', 'valerie-hobson', 'tony-wager', 'jean-simmons', 'bernard-miles', 'francis-l-sullivan', 'finlay-currie', 'martita-hunt', 'alec-guinness', 'ivor-barnard', 'freda-jackson', 'eileen-erskine', 'george-hayes', 'hay-petrie', 'john-forrest', 'torin-thatcher', 'ob-clarence-1', 'john-burch', 'richard-george', 'grace-denbigh-russell', 'everley-gregg', 'anne-holland', 'frank-atkinson', 'gordon-begg', 'edie-martin', 'walford-hyden', 'roy-arthur', 'howard-lang-1']"
to-sleep-with-anger,1990,101.0,['drama'],['charles-burnett'],"['danny-glover', 'paul-butler', 'mary-alice', 'richard-brooks-1', 'carl-lumbly', 'sheryl-lee-ralph', 'vonetta-mcgee', 'ethel-ayler', 'julius-harris', 'sy-richardson-1', 'davis-roberts', 'deforest-covan', 'devaughn-nixon', 'reina-king', 'cory-curtis', 'paula-bellamy', 'wonderful-smith', 'jimmy-witherspoon']"
mur-murs,1981,82.0,['documentary'],['agnes-varda'],"['juliet-berto', 'judy-baca', 'arno-jordan', 'kent-twitchell', 'lynn-carey', 'mathieu-demy', 'gronk', 'willie-herron-iii', 'sabine-mamou', 'arthur-mortimer', 'terry-schoonhoven', 'patssi-valdez', 'agnes-varda', 'harry-gamboa-jr']"
clear-and-present-danger,1994,141.0,"['action', 'drama', 'thriller']",['phillip-noyce'],"['harrison-ford', 'willem-dafoe', 'joaquim-de-almeida', 'henry-czerny', 'harris-yulin', 'donald-moffat', 'miguel-sandoval', 'raymond-cruz', 'anne-archer', 'thora-birch', 'benjamin-bratt', 'dean-jones', 'ann-magnuson-1', 'james-earl-jones', 'hope-lange', 'tom-tammi', 'greg-germann', 'tim-grimm', 'belita-moreno', 'jorge-luke', 'ellen-geer', 'jared-chandler', 'ted-raimi', 'vondie-curtis-hall', 'john-lafayette', 'beau-lotterman', 'rex-linn', 'ken-howard', 'alexander-lester', 'reg-e-cathey', 'clark-gregg', 'chris-conrad', 'vaughn-armstrong', 'john-putch', 'colleen-flynn', 'reed-diamond', 'cam-brainard', 'brendan-ford', 'michael-jace', 'patrick-bauchau', 'aaron-lustig', 'lynne-marie-stewart-1', 'john-rixey-moore', 'jaime-gomez', 'miguel-perez-1', 'r-a-rondell', 'peter-weireter', 'blanca-guerra', 'diana-sowle', 'victor-palmieri', 'trip-hamilton', 'cameron-thor', 'harley-venton-1', 'juan-carlos-colombo', 'rufino-echegoyen', 'honorato-magaloni', 'mario-ivan-martinez', 'eduardo-andrade-1', 'hector-teller', 'alejandro-bracho', 'robert-arratia', 'eliot-ferrer', 'david-j-negron-jr', 'michael-a-mendez-1', 'michael-a-mendez', 'kamala-lopez', 'guillermo-rios', 'alejandro-de-hoyos-3', 'alejandro-de-hoyos-1', 'barbara-harrison-2', 'mark-bailey-8', 'elizabeth-dennehy', 'patricia-belcher', 'tom-isbell', 'kim-flowers', 'claudia-lobo', 'al-verdun', 'catherine-macneal', 'denice-kumagai', 'marjorie-lovett', 'lee-bear', 'glenn-e-coats', 'kevin-cooney', 'lis-kern-1', 'thomas-luskey', 'christine-moore-3', 'tom-bower']"
the-ox-bow-incident,1943,76.0,"['western', 'drama']",['william-a-wellman'],"['henry-fonda', 'dana-andrews', 'mary-beth-hughes', 'anthony-quinn', 'william-eythe', 'harry-morgan', 'jane-darwell', 'matt-briggs', 'harry-davenport', 'frank-conroy', 'marc-lawrence-1', 'paul-hurst', 'victor-kilian', 'chris-pin-martin', 'willard-robertson', 'ted-north', 'ce-anderson', 'stanley-andrews', 'hank-bell', 'william-benedict', 'paul-e-burns', 'george-chandler', 'tex-cooper', 'forrest-dillon', 'dan-dix', 'larry-dods', 'tex-driscoll', 'francis-ford', 'margaret-hamilton', 'rondo-hatton', 'don-house', 'george-lloyd', 'tom-london-1', 'frank-mcgrath', 'george-meeker', 'frank-orth', 'george-plues', 'dick-rich', 'ed-richard', 'walt-robbins', 'almira-sessions', 'clint-sharp', 'ben-watson', 'leigh-whipper']"
